text,label,notes,source_url,created_at,symbols
"$ASTS 📋📋📋📋📋 📝📈ASTS: SpaceX Drawdown Triggers Dip Buying Opportunity - FY2027 Monetization Inflection (Rating Upgrade)📝📈 ⬆️ASTS is upgraded to a cautious Buy after the much needed -39% correction, aided by the great insights offered by the 200 DMA/uptrend support established since mid 2025. ⬆️ASTS accelerates satellite launches, targeting 45 BlueBirds in orbit by year-end while leveraging the strong $3.5B cash position to fund over 100 satellites. ⬆️With $1.2B in contracted revenue and major global operator partnerships, the management confidently guides for recurring revenues approaching $1B in FY2027. ⬆️Despite the near-term cash burn and dilution risks, ASTS' high growth commercialization prospects are compelling indeed, aided by the potential breakthrough of SPCX's current monopoly. ⬆️Thanks to the drawdown post SPCX IPO, ASTS now trades at a more compelling FY2027 EV/Sales of 24.64x, justified by the 5Y revenue growth prospects at CAGR of +117.8%. (See below for article)",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656960494,2026-06-20T00:55:39Z,ASTS
"$ASTS fundamentals are locking into place. The Launch Pipeline is Active: The successful BlueBird 8, 9, and 10 orbital deployment on the Falcon 9 keeps the timeline firmly on track. BlueBirds 11, 12, and 13 are already packing for the next launch, with production secured all the way through satellite 37. Management just reiterated its 2026 revenue guidance of $150–200M. Backed by a massive $1.2B contracted commercial backlog, financials are on schedule. Monetizing 3 Billion Users: Tier-1 network deals with $T, $V, and $VOD give ASTS immediate, turnkey market access to over half the world's mobile subscribers without spending a dime on user acquisition. The FCC commercial direct-to-device authorization is fully approved. Backed by $3.5B in rock-solid liquidity, ASTS is entirely funded to build out its full 45-satellite constellation by early 2027. Government Backing: Beyond consumer telcos, the $30M SDA prototype contract opens up highly lucrative defense and military revenue channels.",evidence_analysis,,https://stocktwits.com/message/656894195,2026-06-18T19:25:03Z,ASTS|T|V|VOD
"@Backprop I have posted thousands of post in the last 3 weeks. The key is $ASTS needs 90 sats for Continuous US coverage. $ASTS has massively diluted and doesn't have enough money to get to 45 sats which is the minimum for service. They have no plan to get to 45 sats now. They won't get to 45 this year as stated and they are already 3 years behind the S1. $SPCX is moving forward with starship. When Starship enters commercial service it will deliver up to 60 Starlink V3 sats per launch. $SPCX has its own frequencies to offer service direct to cell. They can also use $TMO bandwidth and $T and $VZ can break their contract with $ASTS at any time for no cost and go with starlink. $ASTS has massive debt and more dilution ahead. The real death nail is each sat in orbit assuming a 40ghz band can only handle about 83 users at full speed at a time. It will be a month before we find out if BB 8,9.10 work and that would be 4 Block 2 sats so about 320 users lol 30B market cap",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656893468,2026-06-18T19:20:16Z,ASTS|SPCX|TMO|T|VZ
"$GPUS $SPCE $SPCX $SRXH $2.5 billion over 20 years breaks down like this: $125 million per year, $10.4 million per month, $2.4 million per week, or about $342,000 per day. Total shares outstanding are 461.6 million with only a 13.28% float (about 61M shares). ￼ Now back to your valuation question — 2025 revenue came in at $102M but they lost $75M on the year, and losses are growing. ￼ So the $2.5B contract math would be a massive game-changer if real. At $125M/year in new revenue on top of existing revenue, and using even a conservative 5x P/S multiple on $227M combined revenue, you’d be looking at a ~$1.1B market cap. With 461M shares that’s roughly $2.40 per share — about 5x from here. At a 10x multiple it’s closer to $5.",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656778655,2026-06-17T22:33:32Z,GPUS|SPCE|SPCX|SRXH
"$SPCX People keep talking about Tesla merging with SpaceX like it’s some kind of master plan. The truth is Musk already has all the flexibility he needs without ever combining them. He can shift his own capital, talent, and resources across his companies whenever he wants — it already functions like a mini-Berkshire Hathaway, just with rockets, EVs, satellites, AI, and robotics instead of insurance and railroads. They’re entrenched together because the missions overlap, the tech overlaps, and Musk sits at the center of all of it. But they should never be entwined together. A merger would create valuation chaos, regulatory cross‑contamination, national‑security conflicts, shareholder warfare, and nonstop accusations of corruption — real, implied, or assumed. Keeping Tesla, SpaceX, Starlink, xAI, and the rest separate is what protects them. Musk already gets the benefits of coordination without the liabilities of merging. Why change this structure. $SPCX, $TSLA, $ARKX & $SPCE",evidence_analysis,,https://stocktwits.com/message/656479947,2026-06-15T16:40:34Z,SPCX|TSLA|ARKX|SPCE
"$ASTS Can't predict Monday or next week, but one thing I do know... those ppl (AST) are furiously mfg satellites, and they're going to hitch a ride no matter what because the 'tech' warrants its existence. They are not dummies, New Glenn blowing up does not leave them without alternatives. SpaceX still needs income, and is obligated by virtue of so much gvmt work to have open contracts to others, for the use. It's been posited that AST has already excercised ALL of their SpaceX launches for 2026, that can be inferred from documents as 5 more rockets. That it does not meet the guidance given earlier is irrelvent, things change/adjust to new stimuli. The fact is there will beat least 20-something BB's in space before 2026 is over and there's no going back... this is literally the development of 'business' before your eyes. And btw, check the active AST webpage for an appreciation for the size of the ""Bluebird footprint'. (they're grouped for testing now) https://www.bluebird-tracker.space/",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656953332,2026-06-19T19:43:07Z,ASTS
"$LUNR quietly dropped some real news this week. On June 15, Governor Wes Moore announced Intuitive Machines is expanding into a 69,000 sq ft facility at BWI Tech Park in Maryland — and doubling its local workforce. Why it matters: This is the same team that built the robotics and mechanisms for IM-1 and IM-2 — now working on IM-3 They're also producing the technology for Altus, IM's first data relay satellite — which will launch on the same rocket as IM-3 Altus + the expanded ground station network = direct buildout of the space network supporting the NSN contract and Artemis This isn't a flashy press release chasing headlines. It's infrastructure expansion, workforce growth, and physical manufacturing capacity — the kind of quiet execution that doesn't show up in a single day's stock move but compounds over quarters. the NSN backbone, CLPS missions, and the broader ""lunar infrastructure prime"" story are still moving forward $LUNR 🚀",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656799612,2026-06-18T05:49:54Z,LUNR
"$ASTS News: They solved stacking for block2, put 3 new sats into orbit, are essentially ready to ship the next 3, are in the running for a big contract with Japan, are testing capabilities for golden dome as we speak. Remaining questions: unfurling new composite design, what additional partners are they going to use this year to launch? When do they start seeing milestone payments from partners? When do they hit threshold for initial commercial service? Will they ever make an actual mistake instead of just crushing it every time they do something? When does Japan announce they prefer ASTS over SPCX and will bears actually manage to process that insanely bullish news as it is clearly priced in that SpaceX will get the contract?",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656867130,2026-06-18T16:41:11Z,ASTS
$ASTS 155$ imminent here To all the Frustrated retailers out there Last week downside started on June 12 was all about mechanics forces Last run from 60 to 135 Was accompanied by A gamma squeeze forcing the MM to buy more shares to cover Starting June 1 the gamma force tern against the stock!!! Due to incoming sell the news events (SpaceX ipo & the launch) Now the MM start Reverse gamma process Forcing the MM to sell shares Because the price drop on sell the news events. Our company is very very solid And we have new incoming events that will renew the gamma process once moe,evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656934336,2026-06-19T09:22:27Z,ASTS
"$LUNR For everyone who missed it — $LUNR quietly made a big move this week. They expanded their Maryland facility, doubled headcount, and confirmed they're now producing components for IM-3 and their first data relay satellite, Altus — set to launch on the same rocket. This is direct execution on the $4.82B NSN cislunar contract. Companies don't scale physical manufacturing like this for work they think might not happen. The LTV loss got the headlines. This didn't. But long-term, it might matter more.",evidence_analysis,Borderline with hype or risk; kept as evidence_analysis because it gives concrete reasoning beyond the conclusion.,https://stocktwits.com/message/656809410,2026-06-18T11:30:45Z,LUNR
"SpaceX criticized the European Union’s proposal for allocating satellite spectrum, arguing it could undermine the expansion of its Starlink services following its record IPO. The European Commission plans to offer one-third of its 2 GHz frequency band to non-EU companies, while reserving the rest for bloc-based operators, effectively limiting foreign firms from directly providing satellite services to European governments. SpaceX warned that the rules could leave Europe without effective direct-to-device satellite connectivity, as such services become more affordable with the expansion of Starlink’s satellite network. The company noted that US firms, including SpaceX and AST Spacemobile Inc., currently rely on partnerships with European telecom operators due to lack of spectrum rights. According to SpaceX, the proposed framework would split usable spectrum into “practically unusable subdivisions” and may conflict with international regulations and Europe’s economic realities. $SPCX $ASTS",evidence_analysis,,https://stocktwits.com/message/656957438,2026-06-19T22:20:14Z,SPCX|ASTS
